code;bahnhof_haltestelle;bezugsjahr;kanton;eigner;dtv;dwv;dnwv;bemerkungen;remarques;note;remarks;geopos;lod
ROC;Roche VD;2018;VD;CFF;50;60;50.0;;;;;46.3586855943, 6.92704973241;http://lod.opentransportdata.swiss/didok/8501304
ROG;Roggwil-Wynau;2018;BE;SBB;270;320;160.0;;;;;47.2516286412, 7.81490475887;http://lod.opentransportdata.swiss/didok/8508101
RTH;Rüthi SG;2018;SG;SBB;110;120;90.0;;;;;47.2867324557, 9.53604616419;http://lod.opentransportdata.swiss/didok/8509401
RUER;Rueras;2018;GR;MGB;90;90;90.0;;;;;46.6782339005, 8.75489696868;http://lod.opentransportdata.swiss/didok/8505175
SAM;Samstagern;2018;ZH;SOB;1000;1200;570.0;;;;;47.1915464207, 8.68597267489;http://lod.opentransportdata.swiss/didok/8503286
SAS;Salez-Sennwald;2018;SG;SBB;100;120;80.0;;;;;47.2414442444, 9.50232064245;http://lod.opentransportdata.swiss/didok/8509402
SCAN;S-chanf;2018;GR;RhB;240;270;190.0;;;;;46.611938153, 9.98182306539;http://lod.opentransportdata.swiss/didok/8509259
SCHW;Schwyz;2018;SZ;SBB;2900;3200;2300.0;;;;;47.0263942922, 8.63213946703;http://lod.opentransportdata.swiss/didok/8505006
SCRS;Schiers;2018;GR;RhB;1400;1600;850.0;;;;;46.9679934413, 9.68835648854;http://lod.opentransportdata.swiss/didok/8509060
SE;Seon;2018;AG;SBB;690;800;440.0;;;;;47.3461400227, 8.15878995065;http://lod.opentransportdata.swiss/didok/8502030
SG;St. Gallen;2018;SG;SBB;43000;48600;30500.0;Ohne AB.;Sans AB.;Senza AB.;Without AB.;47.4231790668, 9.36987712043;http://lod.opentransportdata.swiss/didok/8506302
SINS;Sins;2018;AG;SBB;1200;1400;720.0;;;;;47.188308281, 8.39780794584;http://lod.opentransportdata.swiss/didok/8502218
SIO;Sion;2018;VS;CFF;11600;13400;7600.0;;;;;46.2275453615, 7.35919185191;http://lod.opentransportdata.swiss/didok/8501506
SIS;Sissach;2018;BL;SBB;7800;8800;5400.0;;;;;47.4627456535, 7.81201832437;http://lod.opentransportdata.swiss/didok/8500026
SLF;Schloss Laufen am Rheinfall;2018;ZH;SBB;350;270;510.0;;;;;47.6765598478, 8.61424692042;http://lod.opentransportdata.swiss/didok/8506039
SSTA;Stansstad;2018;NW;ZB;1500;1700;1200.0;;;;;46.9762667824, 8.33633589757;http://lod.opentransportdata.swiss/didok/8508390
STAF;Stabio;2018;TI;FFS;750;960;280.0;;;;;45.8497253119, 8.94393965078;http://lod.opentransportdata.swiss/didok/8517519
STAS;Stalden-Saas;2018;VS;MGB;500;500;510.0;;;;;46.2319774852, 7.87076552269;http://lod.opentransportdata.swiss/didok/8501683
STJ;Morges-St-Jean;2018;VD;CFF;500;620;240.0;;;;;46.5181892679, 6.50804512989;http://lod.opentransportdata.swiss/didok/8501047
STK;Steckborn;2018;TG;SBB;900;990;690.0;;;;;47.6645058687, 8.98100858061;http://lod.opentransportdata.swiss/didok/8506136
STN;Steinen;2018;SZ;SBB;590;670;420.0;;;;;47.0476633004, 8.60743525261;http://lod.opentransportdata.swiss/didok/8505005
STPM;St. Peter-Molinis;2018;GR;RhB;80;70;110.0;;;;;46.8291477894, 9.653851667;http://lod.opentransportdata.swiss/didok/8509153
SUCU;Sumvitg-Cumpadials;2018;GR;RhB;110;120;80.0;;;;;46.7240775063, 8.93132658293;http://lod.opentransportdata.swiss/didok/8509178
SURO;Surovas;2018;GR;RhB;100;110;80.0;;;;;46.4856333274, 9.90568748866;http://lod.opentransportdata.swiss/didok/8509352
SV;Sonvilier;2018;BE;CFF;170;200;100.0;;;;;47.1413268967, 6.96934420104;http://lod.opentransportdata.swiss/didok/8504311
TABR;Tavanasa-Breil/Brigels;2018;GR;RhB;240;260;210.0;;;;;46.7547670881, 9.06243028366;http://lod.opentransportdata.swiss/didok/8509175
TAEG;Tägerwilen-Gottlieben;2018;TG;SBB;590;700;360.0;;;;;47.6596173652, 9.13295927882;http://lod.opentransportdata.swiss/didok/8506132
TICA;Tiefencastel;2018;GR;RhB;500;470;560.0;;;;;46.6638787719, 9.57286526287;http://lod.opentransportdata.swiss/didok/8509192
TOA;Tobel-Affeltrangen;2018;TG;THURBO;240;280;140.0;;;;;47.5212973847, 9.03368895274;http://lod.opentransportdata.swiss/didok/8506183
TRIN;Trin;2018;GR;RhB;80;70;90.0;;;;;46.8165771033, 9.35952158968;http://lod.opentransportdata.swiss/didok/8509167
TU;Turbenthal;2018;ZH;SBB;1200;1300;790.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;47.437383413, 8.84380329191;http://lod.opentransportdata.swiss/didok/8506007
TW;Thalwil;2018;ZH;SBB;17600;20100;12200.0;;;;;47.2959747213, 8.56475556229;http://lod.opentransportdata.swiss/didok/8503202
URDW;Urdorf Weihermatt;2018;ZH;SBB;2000;2400;1300.0;;;;;47.3809708849, 8.43033031194;http://lod.opentransportdata.swiss/didok/8502229
UZW;Uzwil;2018;SG;SBB;4800;5800;2800.0;;;;;47.4364421946, 9.13097170762;http://lod.opentransportdata.swiss/didok/8506208
VAU;Vaumarcus;2018;NE;CFF;50;50;50.0;;;;;46.8776352286, 6.75758253853;http://lod.opentransportdata.swiss/didok/8504204
VERN;Vernayaz;2018;VS;CFF;360;440;170.0;;;;;46.1385417213, 7.038363732;http://lod.opentransportdata.swiss/didok/8501405
VU;Vufflens-la-Ville;2018;VD;CFF;420;520;200.0;;;;;46.5762368388, 6.53076245457;http://lod.opentransportdata.swiss/didok/8501116
WA;Wattwil;2018;SG;SOB;7300;8200;5300.0;;;;;47.2994785543, 9.0864636527;http://lod.opentransportdata.swiss/didok/8506200
WAB;Waldibrücke;2018;LU;SBB;690;830;370.0;;;;;47.1078933281, 8.31968694103;http://lod.opentransportdata.swiss/didok/8502017
WAE;Wädenswil;2018;ZH;SBB;17300;19700;11900.0;;;;;47.2293011038, 8.67519275897;http://lod.opentransportdata.swiss/didok/8503206
WCHO;Walchwil Hörndli;2018;ZG;SBB;50;50;50.0;;;;;47.1084102503, 8.50502546872;http://lod.opentransportdata.swiss/didok/8517112
WF;Weinfelden;2018;TG;SBB;14600;16600;10100.0;;;;;47.5662241626, 9.10634628137;http://lod.opentransportdata.swiss/didok/8506105
